,date,team_id,pts,opp_id,opp_pts,is_playoffs
0,04/11/2015,LA,20,SEA,29,0
1,04/11/2015,SF,26,VAN,25,0
2,04/11/2015,IND,20,PIT,28,0
3,04/11/2015,RAL,29,ATL,22,0
4,04/11/2015,DC,17,TOR,37,0
5,04/11/2015,CIN,25,DET,18,0
6,04/12/2015,PHI,21,TOR,26,0
7,04/12/2015,CHA,25,ATL,27,0
8,04/12/2015,NY,22,MTL,20,0
9,04/12/2015,SJ,32,VAN,26,0
10,04/12/2015,SD,22,SEA,26,0
11,04/18/2015,RAL,33,JAX,26,0
12,04/18/2015,NSH,17,ATL,23,0
13,04/18/2015,DC,23,OTT,19,0
14,04/18/2015,IND,18,MAD,26,0
15,04/18/2015,SD,23,LA,25,0
16,04/18/2015,SJ,29,SF,26,0
17,04/18/2015,SEA,20,VAN,21,0
18,04/19/2015,CHA,19,JAX,21,0
19,04/19/2015,PHI,15,OTT,18,0
20,04/19/2015,CIN,9,MAD,23,0
21,04/24/2015,IND,25,CIN,9,0
22,04/25/2015,CHI,20,MIN,14,0
23,04/25/2015,NY,27,PHI,17,0
24,04/25/2015,OTT,19,TOR,23,0
25,04/25/2015,NSH,20,JAX,18,0
26,04/25/2015,SF,27,SD,22,0
27,04/25/2015,VAN,22,SEA,26,0
28,04/25/2015,MAD,35,DET,12,0
29,04/25/2015,PIT,30,CIN,16,0
30,04/26/2015,SJ,31,SD,18,0
31,04/26/2015,MTL,27,TOR,26,0
32,04/26/2015,ATL,23,JAX,20,0
33,05/01/2015,IND,23,CHI,22,0
34,05/02/2015,SD,21,SJ,23,0
35,05/02/2015,CIN,18,CHI,27,0
36,05/02/2015,MAD,24,PIT,18,0
37,05/02/2015,ROC,18,OTT,24,0
38,05/02/2015,DET,16,IND,30,0
39,05/02/2015,RAL,34,CHA,22,0
40,05/02/2015,JAX,23,NSH,18,0
41,05/02/2015,PHI,18,MTL,23,0
42,05/03/2015,ATL,30,NSH,20,0
43,05/03/2015,NY,24,OTT,17,0
44,05/03/2015,DC,20,MTL,21,0
45,05/03/2015,MIN,17,PIT,30,0
46,05/03/2015,LA,19,SJ,20,0
47,05/08/2015,CIN,23,IND,27,0
48,05/09/2015,PHI,29,DC,30,0
49,05/09/2015,ATL,29,RAL,28,0
50,05/09/2015,JAX,26,CHA,17,0
51,05/09/2015,TOR,28,NY,25,0
52,05/09/2015,PIT,28,MIN,22,0
53,05/09/2015,CHI,24,IND,22,0
54,05/09/2015,SF,18,SJ,20,0
55,05/09/2015,SEA,19,SD,21,0
56,05/10/2015,DET,20,MIN,27,0
57,05/10/2015,LA,20,SEA,17,0
58,05/10/2015,VAN,27,SD,29,0
59,05/10/2015,NSH,21,RAL,22,0
60,05/15/2015,DET,18,IND,28,0
61,05/15/2015,MAD,16,CHI,13,0
62,05/15/2015,SJ,20,SF,15,0
63,05/16/2015,OTT,25,MTL,24,0
64,05/16/2015,ROC,21,TOR,37,0
65,05/16/2015,DC,18,NY,22,0
66,05/16/2015,IND,27,CIN,18,0
67,05/16/2015,CHA,29,NSH,26,0
68,05/16/2015,JAX,26,ATL,22,0
69,05/16/2015,VAN,27,LA,24,0
70,05/16/2015,SF,18,SD,21,0
71,05/16/2015,MIN,12,CHI,12,0
72,05/17/2015,SEA,29,LA,19,0
73,05/17/2015,RAL,33,NSH,22,0
74,05/22/2015,MAD,27,MIN,10,0
75,05/23/2015,MTL,20,NY,17,0
76,05/23/2015,TOR,33,DC,21,0
77,05/23/2015,CHA,18,RAL,27,0
78,05/23/2015,DET,25,CIN,29,0
79,05/23/2015,SEA,34,VAN,27,0
80,05/23/2015,SD,25,SF,27,0
81,05/23/2015,CHI,25,MIN,15,0
82,05/24/2015,OTT,17,NY,22,0
83,05/24/2015,ROC,25,DC,27,0
84,05/24/2015,LA,23,SF,22,0
85,05/24/2015,VAN,31,SJ,24,0
86,05/29/2015,ATL,26,CHA,18,0
87,05/30/2015,OTT,28,PHI,18,0
88,05/30/2015,JAX,27,RAL,29,0
89,05/30/2015,NY,27,ROC,16,0
90,05/30/2015,PIT,44,DET,20,0
91,05/30/2015,MIN,18,MAD,23,0
92,05/30/2015,SJ,27,LA,19,0
93,05/31/2015,MTL,25,PHI,16,0
94,05/31/2015,SF,24,LA,17,0
95,06/05/2015,ATL,24,RAL,20,0
96,06/05/2015,CHI,28,CIN,10,0
97,06/06/2015,MTL,21,ROC,19,0
98,06/06/2015,JAX,26,CHA,12,0
99,06/06/2015,PHI,20,DC,26,0
100,06/06/2015,NSH,21,RAL,27,0
101,06/06/2015,PIT,26,MAD,22,0
102,06/06/2015,IND,29,DET,21,0
103,06/06/2015,NY,16,TOR,18,0
104,06/06/2015,MIN,25,CIN,17,0
105,06/06/2015,SJ,17,SF,18,0
106,06/06/2015,LA,19,SD,20,0
107,06/07/2015,DET,13,MAD,27,0
108,06/07/2015,OTT,27,ROC,18,0
109,06/12/2015,MIN,19,MAD,31,0
110,06/12/2015,CHI,19,PIT,16,0
111,06/13/2015,DET,21,PIT,34,0
112,06/13/2015,TOR,37,PHI,17,0
113,06/13/2015,MTL,22,OTT,33,0
114,06/13/2015,CHA,17,JAX,18,0
115,06/13/2015,VAN,23,SJ,26,0
116,06/14/2015,ROC,19,PHI,18,0
