,gameorder,game_id,_iscopy,year_id,date,seasongame,is_playoffs,team_id,pts,elo_i,elo_n,opp_id,opp_pts,opp_elo_i,opp_elo_n,game_location,game_result,forecast
0,1,2015041100LA,0,2015,04/11/2015,1,0,LA,20,1500.0,1469.1202944799486,SEA,29,1500.0,1530.8797055200514,H,L,0.6400649998028851
1,1,2015041100LA,1,2015,04/11/2015,1,0,SEA,29,1500.0,1530.8797055200514,LA,20,1500.0,1469.1202944799486,A,W,0.3599350001971149
2,2,2015041100SF,0,2015,04/11/2015,1,0,SF,26,1500.0,1504.7728125848455,VAN,25,1500.0,1495.2271874151545,H,W,0.6400649998028851
3,2,2015041100SF,1,2015,04/11/2015,1,0,VAN,25,1500.0,1495.2271874151545,SF,26,1500.0,1504.7728125848455,A,L,0.3599350001971149
4,3,201504110IND,0,2015,04/11/2015,1,0,IND,20,1500.0,1470.5332723137988,PIT,28,1500.0,1529.4667276862012,H,L,0.6400649998028851
5,3,201504110IND,1,2015,04/11/2015,1,0,PIT,28,1500.0,1529.4667276862012,IND,20,1500.0,1470.5332723137988,A,W,0.3599350001971149
6,4,201504110RAL,0,2015,04/11/2015,1,0,RAL,29,1500.0,1514.3184377545367,ATL,22,1500.0,1485.6815622454633,H,W,0.6400649998028851
7,4,201504110RAL,1,2015,04/11/2015,1,0,ATL,22,1500.0,1485.6815622454633,RAL,29,1500.0,1514.3184377545367,A,L,0.3599350001971149
8,5,2015041100DC,0,2015,04/11/2015,1,0,DC,17,1500.0,1459.1702575456866,TOR,37,1500.0,1540.8297424543134,H,L,0.6400649998028851
9,5,2015041100DC,1,2015,04/11/2015,1,0,TOR,37,1500.0,1540.8297424543134,DC,17,1500.0,1459.1702575456866,A,W,0.3599350001971149
10,6,201504110CIN,0,2015,04/11/2015,1,0,CIN,25,1500.0,1514.3184377545367,DET,18,1500.0,1485.6815622454633,H,W,0.6400649998028851
11,6,201504110CIN,1,2015,04/11/2015,1,0,DET,18,1500.0,1485.6815622454633,CIN,25,1500.0,1514.3184377545367,A,L,0.3599350001971149
