gameorder,game_id,_iscopy,year_id,date,seasongame,is_playoffs,team_id,fran_id,pts,elo_i,elo_n,opp_id,opp_fran,opp_pts,opp_elo_i,opp_elo_n,game_location,game_result,forecast
8,201204220DET,1,2012,04/22/2012,3,0,RIR,Rampage,26,1494.576152902308,1507.8277138511255,DET,Mechanix,24,1491.2690050790256,1478.017444130208,A,W,0.4135337132697672
9,201204280BGR,0,2012,04/28/2012,3,0,BGR,Revolution,12,1521.5703034261974,1532.7287841494758,COL,Cranes,8,1487.2396450940696,1476.0811643707912,H,W,0.6378481785390367
9,201204280BGR,1,2012,04/28/2012,3,0,COL,Cranes,8,1487.2396450940696,1476.0811643707912,BGR,Revolution,12,1521.5703034261974,1532.7287841494758,A,L,0.36215182146096325
10,201204280RIR,0,2012,04/28/2012,4,0,RIR,Rampage,22,1507.8277138511255,1483.2000303959514,PHS,Spinners,30,1536.0463975079924,1560.6740809631665,H,L,0.5513121708450555
10,201204280RIR,1,2012,04/28/2012,3,0,PHS,Spinners,30,1536.0463975079924,1560.6740809631665,RIR,Rampage,22,1507.8277138511255,1483.2000303959514,A,W,0.44868782915494454
11,201204290DET,0,2012,04/29/2012,3,0,DET,Mechanix,26,1478.017444130208,1490.8868147558387,BUF,Dragons,22,1479.6155931955732,1466.7462225699426,H,W,0.5888501352093961
11,201204290DET,1,2012,04/29/2012,2,0,BUF,Dragons,22,1479.6155931955732,1466.7462225699426,DET,Mechanix,26,1478.017444130208,1490.8868147558387,A,L,0.4111498647906039
12,201205050CON,0,2012,05/05/2012,3,0,CON,Constitution,29,1508.0308557739809,1526.7574459284433,PHS,Spinners,23,1560.6740809631665,1541.947490808704,H,W,0.5163378943164457
12,201205050CON,1,2012,05/05/2012,4,0,PHS,Spinners,23,1560.6740809631665,1541.947490808704,CON,Constitution,29,1508.0308557739809,1526.7574459284433,A,L,0.4836621056835543
13,201205050RIR,0,2012,05/05/2012,5,0,RIR,Rampage,20,1483.2000303959514,1488.3656008324515,BUF,Dragons,19,1466.7462225699426,1461.5806521334425,H,W,0.6137562810386603
13,201205050RIR,1,2012,05/05/2012,3,0,BUF,Dragons,19,1466.7462225699426,1461.5806521334425,RIR,Rampage,20,1483.2000303959514,1488.3656008324515,A,L,0.3862437189613397
14,201205050IND,0,2012,05/05/2012,3,0,IND,Alleycats,22,1481.652047020853,1500.6063315233432,DET,Mechanix,13,1490.8868147558387,1471.9325302533484,H,W,0.578167186675321
14,201205050IND,1,2012,05/05/2012,4,0,DET,Mechanix,13,1490.8868147558387,1471.9325302533484,IND,Alleycats,22,1481.652047020853,1500.6063315233432,A,L,0.42183281332467903
15,201205060COL,0,2012,05/06/2012,4,0,COL,Cranes,26,1476.0811643707912,1491.300184696218,DET,Mechanix,20,1471.9325302533484,1456.7135099279217,H,W,0.5968350689909553
15,201205060COL,1,2012,05/06/2012,5,0,DET,Mechanix,20,1471.9325302533484,1456.7135099279217,COL,Cranes,26,1476.0811643707912,1491.300184696218,A,L,0.4031649310090447
16,201205120DET,0,2012,05/12/2012,6,0,DET,Mechanix,21,1456.7135099279217,1468.1418272690157,BGR,Revolution,19,1532.7287841494758,1521.3004668083818,H,W,0.48271552043050936
16,201205120DET,1,2012,05/12/2012,4,0,BGR,Revolution,19,1532.7287841494758,1521.3004668083818,DET,Mechanix,21,1456.7135099279217,1468.1418272690157,A,L,0.5172844795694906
17,201205120PHS,0,2012,05/12/2012,5,0,PHS,Spinners,24,1541.947490808704,1554.3961659297436,RIR,Rampage,18,1488.3656008324515,1475.916925711412,H,W,0.6630365764280555
17,201205120PHS,1,2012,05/12/2012,6,0,RIR,Rampage,18,1488.3656008324515,1475.916925711412,PHS,Spinners,24,1541.947490808704,1554.3961659297436,A,L,0.33696342357194453
18,201205120CON,0,2012,05/12/2012,4,0,CON,Constitution,30,1526.7574459284433,1543.6340198169537,BUF,Dragons,15,1461.5806521334425,1444.7040782449321,H,W,0.6777828806000039
18,201205120CON,1,2012,05/12/2012,4,0,BUF,Dragons,15,1461.5806521334425,1444.7040782449321,CON,Constitution,30,1526.7574459284433,1543.6340198169537,A,L,0.3222171193999961
19,201205120COL,0,2012,05/12/2012,5,0,COL,Cranes,37,1491.300184696218,1509.3920383877778,IND,Alleycats,29,1500.6063315233432,1482.5144778317833,H,W,0.5780669712763866
19,201205120COL,1,2012,05/12/2012,4,0,IND,Alleycats,29,1500.6063315233432,1482.5144778317833,COL,Cranes,37,1491.300184696218,1509.3920383877778,A,L,0.4219330287236134
20,201205190CON,0,2012,05/19/2012,5,0,CON,Constitution,22,1543.6340198169537,1550.2478848756712,RIR,Rampage,20,1475.916925711412,1469.3030606526945,H,W,0.6809681389010409
20,201205190CON,1,2012,05/19/2012,7,0,RIR,Rampage,20,1475.916925711412,1469.3030606526945,CON,Constitution,22,1543.6340198169537,1550.2478848756712,A,L,0.3190318610989591
21,201205190IND,0,2012,05/19/2012,5,0,IND,Alleycats,20,1482.5144778317833,1490.769527943187,DET,Mechanix,18,1468.1418272690157,1459.886777157612,H,W,0.610912441813113
21,201205190IND,1,2012,05/19/2012,7,0,DET,Mechanix,18,1468.1418272690157,1459.886777157612,IND,Alleycats,20,1482.5144778317833,1490.769527943187,A,L,0.389087558186887
22,201205200BUF,0,2012,05/20/2012,5,0,BUF,Dragons,21,1444.7040782449321,1432.2544172011856,RIR,Rampage,23,1469.3030606526945,1481.752721696441,H,L,0.556460786937835
22,201205200BUF,1,2012,05/20/2012,8,0,RIR,Rampage,23,1469.3030606526945,1481.752721696441,BUF,Dragons,21,1444.7040782449321,1432.2544172011856,A,W,0.44353921306216504
23,201205200BGR,0,2012,05/20/2012,5,0,BGR,Revolution,18,1521.3004668083818,1512.1344139184637,IND,Alleycats,19,1490.769527943187,1499.9355808331052,H,L,0.6327804972117301
23,201205200BGR,1,2012,05/20/2012,6,0,IND,Alleycats,19,1490.769527943187,1499.9355808331052,BGR,Revolution,18,1521.3004668083818,1512.1344139184637,A,W,0.36721950278826987
24,201205260DET,0,2012,05/26/2012,8,0,DET,Mechanix,21,1459.886777157612,1437.4164899505308,IND,Alleycats,28,1499.9355808331052,1522.4058680401863,H,L,0.5344140439888734
24,201205260DET,1,2012,05/26/2012,7,0,IND,Alleycats,28,1499.9355808331052,1522.4058680401863,DET,Mechanix,21,1459.886777157612,1437.4164899505308,A,W,0.4655859560111266
