division,abbr,team_name,franchise,href
EAST,BUF,Buffalo Hunters,Dragons,hunters
EAST,CON,Connecticut Constitution,Constitution,constitution
EAST,PHS,Philadelphia Spinners,Spinners,spinners
EAST,RIR,Rhode Island Rampage,Rampage,rampage
WEST,BGR,Bluegrass Revolution,Revolution,revolution
WEST,COL,Columbus Cranes,Cranes,cranes
WEST,DET,Detroit Mechanix,Mechanix,mechanix
WEST,IND,Indianapolis AlleyCats,Alleycats,alleycats
