,gameorder,game_id,_iscopy,year_id,date,seasongame,is_playoffs,team_id,pts,elo_i,elo_n,opp_id,opp_pts,opp_elo_i,opp_elo_n,game_location,game_result,forecast
0,1,2012041400RI,0,2012,04/14/2012,1,0,RI,23,1500.0,1473.903621388787,CON,29,1500.0,1526.096378611213,H,L,0.6400649998028851
1,1,2012041400RI,1,2012,04/14/2012,1,0,CON,29,1500.0,1526.096378611213,RI,23,1500.0,1473.903621388787,A,W,0.3599350001971149
2,2,201204140SPN,0,2012,04/14/2012,1,0,SPN,26,1500.0,1517.6615052562063,BUF,14,1500.0,1482.3384947437937,H,W,0.6400649998028851
3,2,201204140SPN,1,2012,04/14/2012,1,0,BUF,14,1500.0,1482.3384947437937,SPN,26,1500.0,1517.6615052562063,A,L,0.3599350001971149
4,3,201204140COL,0,2012,04/14/2012,1,0,COL,22,1500.0,1504.7728125848455,IND,21,1500.0,1495.2271874151545,H,W,0.6400649998028851
5,3,201204140COL,1,2012,04/14/2012,1,0,IND,21,1500.0,1495.2271874151545,COL,22,1500.0,1504.7728125848455,A,L,0.3599350001971149
6,4,201204140CIN,0,2012,04/14/2012,1,0,CIN,19,1500.0,1507.5647289699502,DET,17,1500.0,1492.4352710300498,H,W,0.6400649998028851
7,4,201204140CIN,1,2012,04/14/2012,1,0,DET,17,1500.0,1492.4352710300498,CIN,19,1500.0,1507.5647289699502,A,L,0.3599350001971149
8,5,201204210COL,0,2012,04/21/2012,2,0,COL,19,1504.7728125848455,1484.729496106941,RI,22,1473.903621388787,1493.9469378666915,H,L,0.6799068207592145
9,5,201204210COL,1,2012,04/21/2012,2,0,RI,22,1473.903621388787,1493.9469378666915,COL,19,1504.7728125848455,1484.729496106941,A,W,0.3200931792407855
10,6,201204210IND,0,2012,04/21/2012,2,0,IND,18,1495.2271874151545,1480.9579046184324,CIN,20,1507.5647289699502,1521.8340117666723,H,L,0.623545764661476
11,6,201204210IND,1,2012,04/21/2012,2,0,CIN,20,1507.5647289699502,1521.8340117666723,IND,18,1495.2271874151545,1480.9579046184324,A,W,0.37645423533852396
12,7,201204210SPN,0,2012,04/21/2012,2,0,SPN,22,1517.6615052562063,1531.530533558104,CON,16,1526.096378611213,1512.2273503093152,H,W,0.628804434538693
13,7,201204210SPN,1,2012,04/21/2012,2,0,CON,16,1526.096378611213,1512.2273503093152,SPN,22,1517.6615052562063,1531.530533558104,A,L,0.37119556546130705
14,8,201204220DET,0,2012,04/22/2012,2,0,DET,24,1492.4352710300498,1477.7586744239088,RI,26,1493.9469378666915,1508.6235344728325,H,L,0.6380578173565342
