,date,team_id,pts,opp_id,opp_pts,is_playoffs
0,04/14/2012,RIR,23,CON,29,0
1,04/14/2012,PHS,26,BUF,14,0
2,04/14/2012,COL,22,IND,21,0
3,04/14/2012,BGR,19,DET,17,0
4,04/21/2012,COL,19,RIR,22,0
5,04/21/2012,IND,18,BGR,20,0
6,04/21/2012,PHS,22,CON,16,0
7,04/22/2012,DET,24,RIR,26,0
8,04/28/2012,BGR,12,COL,8,0
9,04/28/2012,RIR,22,PHS,30,0
10,04/29/2012,DET,26,BUF,22,0
11,05/05/2012,CON,29,PHS,23,0
12,05/05/2012,RIR,20,BUF,19,0
13,05/05/2012,IND,22,DET,13,0
14,05/06/2012,COL,26,DET,20,0
15,05/12/2012,DET,21,BGR,19,0
16,05/12/2012,PHS,24,RIR,18,0
17,05/12/2012,CON,30,BUF,15,0
18,05/12/2012,COL,37,IND,29,0
19,05/19/2012,CON,22,RIR,20,0
20,05/19/2012,IND,20,DET,18,0
21,05/20/2012,BUF,21,RIR,23,0
22,05/20/2012,BGR,18,IND,19,0
23,05/26/2012,DET,21,IND,28,0
24,05/26/2012,CON,28,COL,21,0
25,05/26/2012,RIR,21,BGR,20,0
26,05/27/2012,BUF,24,BGR,25,0
27,05/27/2012,PHS,23,COL,20,0
28,06/02/2012,DET,24,COL,21,0
29,06/02/2012,BUF,13,CON,17,0
30,06/02/2012,IND,20,BGR,18,0
31,06/09/2012,CON,24,RIR,18,0
32,06/09/2012,PHS,33,BUF,16,0
33,06/16/2012,CON,19,PHS,29,0
34,06/16/2012,BUF,21,IND,26,0
35,06/16/2012,COL,23,BGR,20,0
36,06/17/2012,DET,23,IND,21,0
37,06/23/2012,RIR,11,CON,12,0
38,06/23/2012,BUF,18,PHS,29,0
39,06/23/2012,COL,30,DET,25,0
40,06/23/2012,BGR,17,IND,13,0
41,06/24/2012,IND,22,COL,20,0
42,06/24/2012,BGR,27,DET,24,0
43,06/24/2012,PHS,24,CON,20,0
44,06/30/2012,RIR,1,IND,0,0
45,06/30/2012,PHS,22,DET,23,0
46,06/30/2012,CON,21,BUF,19,0
47,06/30/2012,BGR,1,COL,0,0
48,07/01/2012,BUF,24,RIR,15,0
49,07/07/2012,BGR,1,CON,0,0
50,07/07/2012,COL,0,BUF,1,0
51,07/08/2012,IND,1,CON,0,0
52,07/08/2012,BUF,13,PHS,35,0
53,07/08/2012,DET,27,COL,26,0
54,07/14/2012,CON,0,DET,1,0
55,07/14/2012,RIR,27,BUF,21,0
56,07/14/2012,IND,16,PHS,19,0
57,07/15/2012,IND,20,COL,25,0
58,07/15/2012,BGR,17,PHS,27,0
59,07/21/2012,PHS,29,RIR,20,0
60,07/21/2012,DET,20,BGR,22,0
61,07/21/2012,BUF,1,CON,0,0
62,07/22/2012,COL,19,BGR,17,0
63,07/29/2012,IND,24,BGR,20,1
64,08/04/2012,RIR,21,PHS,35,1
65,08/11/2012,PHS,29,IND,22,1
