date,season,neutral,playoff,team1,team2,score1,score2
06/15/2013,2013,0,0,CIN,MAD,23,21
06/15/2013,2013,0,0,CHI,MIN,26,25
06/16/2013,2013,0,0,TOR,ROC,25,22
06/16/2013,2013,0,0,DC,NY,16,19
06/16/2013,2013,0,0,NJ,PHI,17,21
06/16/2013,2013,0,0,IND,MAD,22,24
06/22/2013,2013,0,0,DET,CHI,26,34
06/22/2013,2013,0,0,TOR,DC,40,16
06/22/2013,2013,0,0,NY,PHI,23,22
06/22/2013,2013,0,0,MAD,IND,20,16
06/23/2013,2013,0,0,ROC,DC,24,20
06/23/2013,2013,0,0,MIN,IND,21,29
06/23/2013,2013,0,0,CIN,CHI,17,20
06/23/2013,2013,0,0,NJ,NY,21,18
06/29/2013,2013,0,0,DC,PHI,21,23
06/29/2013,2013,0,0,NY,NJ,22,9
06/29/2013,2013,0,0,TOR,ROC,28,18
06/29/2013,2013,0,0,CHI,MAD,13,15
06/29/2013,2013,0,0,MIN,CIN,35,24
06/29/2013,2013,0,0,IND,DET,24,17
06/30/2013,2013,0,0,PHI,NJ,20,17
06/30/2013,2013,0,0,ROC,TOR,20,26
06/30/2013,2013,0,0,DET,MAD,22,29
07/05/2013,2013,0,0,CHI,MIN,28,13
07/06/2013,2013,0,0,ROC,NY,22,27
07/06/2013,2013,0,0,NJ,DC,17,24
07/06/2013,2013,0,0,IND,MIN,29,9
07/06/2013,2013,0,0,MAD,CIN,28,18
07/07/2013,2013,0,0,DET,CIN,17,16
07/07/2013,2013,0,0,TOR,NY,28,16
07/12/2013,2013,0,0,CHI,DET,32,19
07/13/2013,2013,0,0,DC,TOR,17,31
07/13/2013,2013,0,0,NY,NJ,25,16
07/13/2013,2013,0,0,MIN,IND,18,24
07/14/2013,2013,0,0,PHI,TOR,24,35
07/14/2013,2013,0,0,MAD,IND,25,23
07/26/2013,2013,0,1,NY,PHI,21,13
07/27/2013,2013,0,1,MAD,IND,18,15
08/03/2013,2013,0,1,CHI,MAD,15,21
08/03/2013,2013,1,1,TOR,NY,25,18
08/04/2013,2013,1,1,TOR,MAD,16,14
04/12/2014,2014,0,0,DET,MIN,21,30
04/12/2014,2014,0,0,CIN,MAD,16,25
04/12/2014,2014,0,0,DC,TOR,19,20
04/12/2014,2014,0,0,SLC,VAN,14,26
04/12/2014,2014,0,0,SJ,SF,20,16
04/13/2014,2014,0,0,CHI,MIN,27,19
04/13/2014,2014,0,0,IND,MAD,21,26
04/13/2014,2014,0,0,NY,TOR,20,22
04/13/2014,2014,0,0,SLC,VAN,12,21
04/18/2014,2014,0,0,CIN,CHI,23,22
04/19/2014,2014,0,0,DET,MAD,9,34
04/19/2014,2014,0,0,IND,CHI,25,19
04/19/2014,2014,0,0,MTL,TOR,14,22
04/19/2014,2014,0,0,VAN,SEA,24,19
04/19/2014,2014,0,0,SF,SLC,32,9
04/19/2014,2014,0,0,PHI,ROC,10,13
04/20/2014,2014,0,0,SJ,SLC,37,18
04/25/2014,2014,0,0,MIN,MAD,23,20
04/26/2014,2014,0,0,CHI,CIN,26,12
04/26/2014,2014,0,0,DET,IND,16,22
04/26/2014,2014,0,0,NY,ROC,27,8
04/26/2014,2014,0,0,SEA,SF,13,17
04/26/2014,2014,0,0,SLC,SJ,20,31
04/27/2014,2014,0,0,DC,ROC,30,22
04/27/2014,2014,0,0,VAN,SF,20,29
05/02/2014,2014,0,0,CIN,DET,25,13
05/03/2014,2014,0,0,MAD,IND,27,18
05/03/2014,2014,0,0,CHI,DET,16,9
05/03/2014,2014,0,0,TOR,ROC,26,11
05/03/2014,2014,0,0,MTL,NY,16,17
05/03/2014,2014,0,0,PHI,DC,22,30
05/03/2014,2014,0,0,SJ,SEA,25,20
05/04/2014,2014,0,0,MIN,IND,21,22
05/04/2014,2014,0,0,DC,PHI,28,19
05/04/2014,2014,0,0,SF,SEA,29,16
05/09/2014,2014,0,0,MAD,MIN,22,15
05/09/2014,2014,0,0,CHI,IND,20,19
05/10/2014,2014,0,0,IND,MIN,25,24
05/10/2014,2014,0,0,DET,CIN,15,20
05/10/2014,2014,0,0,ROC,TOR,18,30
05/10/2014,2014,0,0,NY,PHI,20,10
05/10/2014,2014,0,0,VAN,SJ,32,39
05/10/2014,2014,0,0,SLC,SF,16,19
05/11/2014,2014,0,0,SEA,SJ,14,23
05/16/2014,2014,0,0,CIN,IND,20,24
05/17/2014,2014,0,0,MIN,CHI,20,31
05/17/2014,2014,0,0,IND,DET,30,22
05/17/2014,2014,0,0,ROC,NY,13,24
05/17/2014,2014,0,0,VAN,SLC,40,28
05/17/2014,2014,0,0,SF,SJ,22,21
05/18/2014,2014,0,0,MTL,ROC,27,14
05/18/2014,2014,0,0,SEA,SLC,26,13
05/18/2014,2014,0,0,DC,PHI,25,21
05/23/2014,2014,0,0,CHI,MAD,15,14
05/24/2014,2014,0,0,MAD,CHI,15,12
05/24/2014,2014,0,0,TOR,DC,27,17
05/24/2014,2014,0,0,PHI,MTL,15,23
05/24/2014,2014,0,0,CIN,MIN,25,26
05/25/2014,2014,0,0,SEA,VAN,16,21
05/25/2014,2014,0,0,DET,MIN,18,29
05/25/2014,2014,0,0,ROC,DC,21,26
05/25/2014,2014,0,0,NY,MTL,26,21
05/31/2014,2014,0,0,CIN,MAD,12,29
05/31/2014,2014,0,0,DET,CHI,17,31
05/31/2014,2014,0,0,TOR,MTL,25,20
05/31/2014,2014,0,0,SJ,VAN,26,25
05/31/2014,2014,0,0,SLC,SEA,16,22
06/01/2014,2014,0,0,ROC,MTL,19,22
06/01/2014,2014,0,0,PHI,NY,16,27
06/01/2014,2014,0,0,SF,VAN,20,16
06/07/2014,2014,0,0,MIN,CIN,30,18
06/07/2014,2014,0,0,IND,MAD,12,23
06/07/2014,2014,0,0,CHI,DET,26,13
06/07/2014,2014,0,0,NY,MTL,24,16
06/07/2014,2014,0,0,VAN,SLC,37,9
06/07/2014,2014,0,0,SJ,SF,33,30
06/08/2014,2014,0,0,MAD,CIN,28,15
06/08/2014,2014,0,0,TOR,ROC,38,18
06/08/2014,2014,0,0,DC,MTL,25,24
06/08/2014,2014,0,0,SEA,SLC,35,11
06/14/2014,2014,0,0,MAD,MIN,23,15
06/14/2014,2014,0,0,MTL,TOR,18,31
06/14/2014,2014,0,0,ROC,PHI,16,17
06/14/2014,2014,0,0,DC,NY,31,26
06/14/2014,2014,0,0,SF,SEA,23,17
06/15/2014,2014,0,0,MTL,PHI,24,19
06/15/2014,2014,0,0,SJ,SEA,24,21
06/20/2014,2014,0,0,MAD,CHI,24,19
06/21/2014,2014,0,0,MIN,CHI,22,19
06/21/2014,2014,0,0,IND,CIN,23,22
06/21/2014,2014,0,0,TOR,NY,21,18
06/21/2014,2014,0,0,MTL,PHI,31,19
06/21/2014,2014,0,0,VAN,SJ,25,37
06/21/2014,2014,0,0,SLC,SF,22,31
06/22/2014,2014,0,0,TOR,PHI,29,15
06/22/2014,2014,0,0,ROC,NY,9,25
06/22/2014,2014,0,0,SEA,SJ,14,22
06/22/2014,2014,0,0,SLC,SF,24,33
06/27/2014,2014,0,0,MIN,DET,42,16
06/27/2014,2014,0,0,IND,CIN,29,15
06/28/2014,2014,0,0,MAD,DET,28,9
06/28/2014,2014,0,0,CHI,CIN,21,12
06/28/2014,2014,0,0,ROC,TOR,20,29
06/28/2014,2014,0,0,MTL,DC,20,29
06/28/2014,2014,0,0,SF,VAN,23,18
06/28/2014,2014,0,0,SJ,SLC,37,12
06/29/2014,2014,0,0,NY,DC,21,13
06/29/2014,2014,0,0,VAN,SEA,28,26
07/04/2014,2014,0,0,DET,IND,19,27
07/05/2014,2014,0,0,CIN,DET,24,20
07/05/2014,2014,0,0,TOR,MTL,19,20
07/05/2014,2014,0,0,PHI,ROC,29,24
07/05/2014,2014,0,0,DC,NY,23,31
07/06/2014,2014,0,0,PHI,DC,20,25
07/12/2014,2014,0,0,PHI,TOR,18,24
07/12/2014,2014,0,0,NY,DC,13,14
07/12/2014,2014,0,0,SEA,VAN,18,21
07/12/2014,2014,0,0,SF,SJ,17,23
07/13/2014,2014,0,0,MIN,IND,25,15
07/18/2014,2014,0,1,SJ,SF,26,16
07/19/2014,2014,0,1,TOR,DC,37,11
07/19/2014,2014,0,1,MAD,IND,25,16
07/19/2014,2014,0,1,NY,CHI,22,17
07/26/2014,2014,0,1,TOR,NY,31,16
07/26/2014,2014,1,1,MAD,SJ,20,23
07/27/2014,2014,0,1,TOR,SJ,18,28
04/11/2015,2015,0,0,LA,SEA,20,29
04/11/2015,2015,0,0,SF,VAN,26,25
04/11/2015,2015,0,0,IND,PIT,20,28
04/11/2015,2015,0,0,RAL,ATL,29,22
04/11/2015,2015,0,0,DC,TOR,17,37
04/11/2015,2015,0,0,CIN,DET,25,18
04/12/2015,2015,0,0,PHI,TOR,21,26
04/12/2015,2015,0,0,CHA,ATL,25,27
04/12/2015,2015,0,0,NY,MTL,22,20
04/12/2015,2015,0,0,SJ,VAN,32,26
04/12/2015,2015,0,0,SD,SEA,22,26
04/18/2015,2015,0,0,RAL,TB,33,26
04/18/2015,2015,0,0,NSH,ATL,17,23
04/18/2015,2015,0,0,DC,OTT,23,19
04/18/2015,2015,0,0,IND,MAD,18,26
04/18/2015,2015,0,0,SD,LA,23,25
04/18/2015,2015,0,0,SJ,SF,29,26
04/18/2015,2015,0,0,SEA,VAN,20,21
04/19/2015,2015,0,0,CHA,TB,19,21
04/19/2015,2015,0,0,PHI,OTT,15,18
04/19/2015,2015,0,0,CIN,MAD,9,23
04/24/2015,2015,0,0,IND,CIN,25,9
04/25/2015,2015,0,0,CHI,MIN,20,14
04/25/2015,2015,0,0,NY,PHI,27,17
04/25/2015,2015,0,0,OTT,TOR,19,23
04/25/2015,2015,0,0,NSH,TB,20,18
04/25/2015,2015,0,0,SF,SD,27,22
04/25/2015,2015,0,0,VAN,SEA,22,26
04/25/2015,2015,0,0,MAD,DET,35,12
04/25/2015,2015,0,0,PIT,CIN,30,16
04/26/2015,2015,0,0,SJ,SD,31,18
04/26/2015,2015,0,0,MTL,TOR,27,26
04/26/2015,2015,0,0,ATL,TB,23,20
05/01/2015,2015,0,0,IND,CHI,23,22
05/02/2015,2015,0,0,SD,SJ,21,23
05/02/2015,2015,0,0,CIN,CHI,18,27
05/02/2015,2015,0,0,MAD,PIT,24,18
05/02/2015,2015,0,0,ROC,OTT,18,24
05/02/2015,2015,0,0,DET,IND,16,30
05/02/2015,2015,0,0,RAL,CHA,34,22
05/02/2015,2015,0,0,TB,NSH,23,18
05/02/2015,2015,0,0,PHI,MTL,18,23
05/03/2015,2015,0,0,ATL,NSH,30,20
05/03/2015,2015,0,0,NY,OTT,24,17
05/03/2015,2015,0,0,DC,MTL,20,21
05/03/2015,2015,0,0,MIN,PIT,17,30
05/03/2015,2015,0,0,LA,SJ,19,20
05/08/2015,2015,0,0,CIN,IND,23,27
05/09/2015,2015,0,0,PHI,DC,29,30
05/09/2015,2015,0,0,ATL,RAL,29,28
05/09/2015,2015,0,0,TB,CHA,26,17
05/09/2015,2015,0,0,TOR,NY,28,25
05/09/2015,2015,0,0,PIT,MIN,28,22
05/09/2015,2015,0,0,CHI,IND,24,22
05/09/2015,2015,0,0,SF,SJ,18,20
05/09/2015,2015,0,0,SEA,SD,19,21
05/10/2015,2015,0,0,DET,MIN,20,27
05/10/2015,2015,0,0,LA,SEA,20,17
05/10/2015,2015,0,0,VAN,SD,27,29
05/10/2015,2015,0,0,NSH,RAL,21,22
05/15/2015,2015,0,0,DET,IND,18,28
05/15/2015,2015,0,0,MAD,CHI,16,13
05/15/2015,2015,0,0,SJ,SF,20,15
05/16/2015,2015,0,0,OTT,MTL,25,24
05/16/2015,2015,0,0,ROC,TOR,21,37
05/16/2015,2015,0,0,DC,NY,18,22
05/16/2015,2015,0,0,IND,CIN,27,18
05/16/2015,2015,0,0,CHA,NSH,29,26
05/16/2015,2015,0,0,TB,ATL,26,22
05/16/2015,2015,0,0,VAN,LA,27,24
05/16/2015,2015,0,0,SF,SD,18,21
05/16/2015,2015,0,0,MIN,CHI,12,12
05/17/2015,2015,0,0,SEA,LA,29,19
05/17/2015,2015,0,0,RAL,NSH,33,22
05/22/2015,2015,0,0,MAD,MIN,27,10
05/23/2015,2015,0,0,MTL,NY,20,17
05/23/2015,2015,0,0,TOR,DC,33,21
05/23/2015,2015,0,0,CHA,RAL,18,27
05/23/2015,2015,0,0,DET,CIN,25,29
05/23/2015,2015,0,0,SEA,VAN,34,27
05/23/2015,2015,0,0,SD,SF,25,27
05/23/2015,2015,0,0,CHI,MIN,25,15
05/24/2015,2015,0,0,OTT,NY,17,22
05/24/2015,2015,0,0,ROC,DC,25,27
05/24/2015,2015,0,0,LA,SF,23,22
05/24/2015,2015,0,0,VAN,SJ,31,24
05/29/2015,2015,0,0,ATL,CHA,26,18
05/30/2015,2015,0,0,OTT,PHI,28,18
05/30/2015,2015,0,0,TB,RAL,27,29
05/30/2015,2015,0,0,NY,ROC,27,16
05/30/2015,2015,0,0,PIT,DET,44,20
05/30/2015,2015,0,0,MIN,MAD,18,23
05/30/2015,2015,0,0,SJ,LA,27,19
05/31/2015,2015,0,0,MTL,PHI,25,16
05/31/2015,2015,0,0,SF,LA,24,17
06/05/2015,2015,0,0,ATL,RAL,24,20
06/05/2015,2015,0,0,CHI,CIN,28,10
06/06/2015,2015,0,0,MTL,ROC,21,19
06/06/2015,2015,0,0,TB,CHA,26,12
06/06/2015,2015,0,0,PHI,DC,20,26
06/06/2015,2015,0,0,NSH,RAL,21,27
06/06/2015,2015,0,0,PIT,MAD,26,22
06/06/2015,2015,0,0,IND,DET,29,21
06/06/2015,2015,0,0,NY,TOR,16,18
06/06/2015,2015,0,0,MIN,CIN,25,17
06/06/2015,2015,0,0,SJ,SF,17,18
06/06/2015,2015,0,0,LA,SD,19,20
06/07/2015,2015,0,0,DET,MAD,13,27
06/07/2015,2015,0,0,OTT,ROC,27,18
06/12/2015,2015,0,0,MIN,MAD,19,31
06/12/2015,2015,0,0,CHI,PIT,19,16
06/13/2015,2015,0,0,DET,PIT,21,34
06/13/2015,2015,0,0,TOR,PHI,37,17
06/13/2015,2015,0,0,MTL,OTT,22,33
06/13/2015,2015,0,0,CHA,TB,17,18
06/13/2015,2015,0,0,VAN,SJ,23,26
06/14/2015,2015,0,0,ROC,PHI,19,18
06/14/2015,2015,0,0,RAL,TB,26,28
06/14/2015,2015,0,0,NSH,ATL,21,25
06/14/2015,2015,0,0,SEA,SJ,25,23
06/19/2015,2015,0,0,CHI,MAD,22,23
06/20/2015,2015,0,0,TOR,MTL,24,18
06/20/2015,2015,0,0,TB,ATL,29,27
06/20/2015,2015,0,0,DC,NY,7,8
06/20/2015,2015,0,0,MAD,CHI,24,16
06/20/2015,2015,0,0,CHA,RAL,21,24
06/20/2015,2015,0,0,CIN,PIT,19,25
06/20/2015,2015,0,0,SJ,SEA,35,28
06/20/2015,2015,0,0,SD,VAN,32,28
06/21/2015,2015,0,0,ROC,MTL,21,24
06/21/2015,2015,0,0,ROC,MTL,17,23
06/21/2015,2015,0,0,NY,DC,21,13
06/21/2015,2015,0,0,SF,SEA,25,21
06/21/2015,2015,0,0,LA,VAN,27,20
06/27/2015,2015,0,0,MTL,OTT,25,29
06/27/2015,2015,0,0,DET,CHI,11,21
06/27/2015,2015,0,0,TOR,ROC,27,10
06/27/2015,2015,0,0,CIN,MIN,17,21
06/27/2015,2015,0,0,CHA,ATL,13,26
06/27/2015,2015,0,0,RAL,NSH,20,15
06/27/2015,2015,0,0,VAN,SF,19,22
06/28/2015,2015,0,0,NY,PHI,24,13
06/28/2015,2015,0,0,PIT,CHI,27,26
06/28/2015,2015,0,0,IND,MIN,21,25
06/28/2015,2015,0,0,SEA,SF,27,17
07/03/2015,2015,0,0,ROC,NY,19,25
07/04/2015,2015,0,0,ATL,TB,21,24
07/04/2015,2015,0,0,OTT,DC,25,26
07/05/2015,2015,0,0,MTL,DC,25,21
07/10/2015,2015,0,0,PIT,DET,42,16
07/10/2015,2015,0,0,DC,PHI,27,12
07/11/2015,2015,0,0,TB,NSH,29,27
07/11/2015,2015,0,0,DC,ROC,27,19
07/11/2015,2015,0,0,RAL,CHA,26,23
07/11/2015,2015,0,0,CIN,PIT,27,33
07/11/2015,2015,0,0,MIN,IND,22,21
07/11/2015,2015,0,0,SD,LA,23,22
07/12/2015,2015,0,0,MAD,IND,25,24
07/12/2015,2015,0,0,PHI,ROC,26,16
07/12/2015,2015,0,0,ATL,NSH,28,18
07/16/2015,2015,0,0,TOR,ROC,39,17
07/17/2015,2015,0,0,MIN,DET,45,11
07/17/2015,2015,0,0,MAD,CIN,39,19
07/18/2015,2015,0,0,PHI,NY,17,20
07/18/2015,2015,0,0,PIT,IND,29,25
07/18/2015,2015,0,0,OTT,TOR,26,30
07/18/2015,2015,0,0,NSH,CHA,22,19
07/18/2015,2015,0,0,SF,SJ,32,18
07/18/2015,2015,0,0,SEA,VAN,30,17
07/18/2015,2015,0,0,LA,SD,21,16
07/19/2015,2015,0,0,NSH,CHA,17,18
07/19/2015,2015,0,0,CHI,DET,28,12
07/19/2015,2015,0,0,TOR,OTT,25,19
07/19/2015,2015,0,0,VAN,SEA,26,24
07/19/2015,2015,0,0,SD,LA,21,15
07/24/2015,2015,0,1,MTL,NY,20,33
07/25/2015,2015,1,1,PIT,CHI,24,23
07/25/2015,2015,0,1,TOR,NY,25,19
07/25/2015,2015,0,1,MAD,PIT,24,21
07/25/2015,2015,0,1,RAL,TB,28,27
07/25/2015,2015,0,1,SEA,SF,21,19
