,gameorder,game_id,_iscopy,year_id,date,seasongame,is_playoffs,team_id,pts,elo_i,elo_n,opp_id,opp_pts,opp_elo_i,opp_elo_n,game_location,game_result,forecast
0,1,201704010RAL,0,2017,04/01/2017,1,0,RAL,27,1500.0,1515.1294579399005,ATL,19,1500.0,1484.8705420600995,H,W,0.6400649998028851
1,1,201704010RAL,1,2017,04/01/2017,1,0,ATL,19,1500.0,1484.8705420600995,RAL,27,1500.0,1515.1294579399005,A,L,0.3599350001971149
2,2,201704010JAX,0,2017,04/01/2017,1,0,JAX,40,1500.0,1519.9022705247462,NSH,23,1500.0,1480.0977294752538,H,W,0.6400649998028851
3,2,201704010JAX,1,2017,04/01/2017,1,0,NSH,23,1500.0,1480.0977294752538,JAX,40,1500.0,1519.9022705247462,A,L,0.3599350001971149
4,3,201704010DAL,0,2017,04/01/2017,1,0,DAL,21,1500.0,1511.082127632385,AUS,17,1500.0,1488.917872367615,H,W,0.6400649998028851
5,3,201704010DAL,1,2017,04/01/2017,1,0,AUS,17,1500.0,1488.917872367615,DAL,21,1500.0,1511.082127632385,A,L,0.3599350001971149
6,4,2017040100SF,0,2017,04/01/2017,1,0,SF,34,1500.0,1512.3375415547957,SJ,29,1500.0,1487.6624584452043,H,W,0.6400649998028851
7,4,2017040100SF,1,2017,04/01/2017,1,0,SJ,29,1500.0,1487.6624584452043,SF,34,1500.0,1512.3375415547957,A,L,0.3599350001971149
8,5,2017040100SD,0,2017,04/01/2017,1,0,SD,26,1500.0,1475.9709185380934,LA,31,1500.0,1524.0290814619066,H,L,0.6400649998028851
9,5,2017040100SD,1,2017,04/01/2017,1,0,LA,31,1500.0,1524.0290814619066,SD,26,1500.0,1475.9709185380934,A,W,0.3599350001971149
10,6,201704010SEA,0,2017,04/01/2017,1,0,SEA,29,1500.0,1517.1103541396415,VAN,18,1500.0,1482.8896458603585,H,W,0.6400649998028851
11,6,201704010SEA,1,2017,04/01/2017,1,0,VAN,18,1500.0,1482.8896458603585,SEA,29,1500.0,1517.1103541396415,A,L,0.3599350001971149
12,7,201704020IND,0,2017,04/02/2017,1,0,IND,19,1500.0,1475.9709185380934,MAD,24,1500.0,1524.0290814619066,H,L,0.6400649998028851
13,7,201704020IND,1,2017,04/02/2017,1,0,MAD,24,1500.0,1524.0290814619066,IND,19,1500.0,1475.9709185380934,A,W,0.3599350001971149
14,8,2017040800NY,0,2017,04/08/2017,1,0,NY,17,1500.0,1475.9709185380934,TOR,22,1500.0,1524.0290814619066,H,L,0.6400649998028851
15,8,2017040800NY,1,2017,04/08/2017,1,0,TOR,22,1500.0,1524.0290814619066,NY,17,1500.0,1475.9709185380934,A,W,0.3599350001971149
16,9,201704080IND,0,2017,04/08/2017,2,0,IND,25,1475.9709185380934,1494.16046066723,DET,15,1500.0,1481.8104578708635,H,W,0.6076211522107301
17,9,201704080IND,1,2017,04/08/2017,1,0,DET,15,1500.0,1481.8104578708635,IND,25,1475.9709185380934,1494.16046066723,A,L,0.3923788477892699
18,10,201704080AUS,0,2017,04/08/2017,2,0,AUS,19,1488.917872367615,1462.899705439766,RAL,26,1515.1294579399005,1541.1476248677495,H,L,0.6046217747379298
19,10,201704080AUS,1,2017,04/08/2017,2,0,RAL,26,1515.1294579399005,1541.1476248677495,AUS,19,1488.917872367615,1462.899705439766,A,W,0.3953782252620702
20,11,2017040800SJ,0,2017,04/08/2017,2,0,SJ,24,1487.6624584452043,1496.0173321318018,SF,22,1512.3375415547957,1503.9826678681982,H,W,0.606734198127806
21,11,2017040800SJ,1,2017,04/08/2017,2,0,SF,22,1512.3375415547957,1503.9826678681982,SJ,24,1487.6624584452043,1496.0173321318018,A,L,0.39326580187219395
22,12,2017040900DC,0,2017,04/09/2017,1,0,DC,32,1500.0,1518.8495780887638,TOR,21,1524.0290814619066,1505.1795033731428,H,W,0.6076211522107301
23,12,2017040900DC,1,2017,04/09/2017,2,0,TOR,21,1524.0290814619066,1505.1795033731428,DC,32,1500.0,1518.8495780887638,A,L,0.3923788477892699
24,13,201704090DAL,0,2017,04/09/2017,2,0,DAL,33,1511.082127632385,1532.6167549438633,RAL,18,1541.1476248677495,1519.6129975562712,H,W,0.5993062601944789
25,13,201704090DAL,1,2017,04/09/2017,3,0,RAL,18,1541.1476248677495,1519.6129975562712,DAL,33,1511.082127632385,1532.6167549438633,A,L,0.40069373980552114
26,14,2017040900LA,0,2017,04/09/2017,2,0,LA,21,1524.0290814619066,1532.0373062821184,VAN,18,1482.8896458603585,1474.8814210401467,H,W,0.6926342980253487
27,14,2017040900LA,1,2017,04/09/2017,2,0,VAN,18,1482.8896458603585,1474.8814210401467,LA,21,1524.0290814619066,1532.0373062821184,A,L,0.3073657019746513
28,15,201704150NSH,0,2017,04/15/2017,2,0,NSH,27,1480.0977294752538,1448.331246985353,ATL,37,1484.8705420600995,1516.6370245500004,H,L,0.6337113203804119
29,15,201704150NSH,1,2017,04/15/2017,2,0,ATL,37,1484.8705420600995,1516.6370245500004,NSH,27,1480.0977294752538,1448.331246985353,A,W,0.3662886796195881
30,16,201704150JAX,0,2017,04/15/2017,2,0,JAX,18,1519.9022705247462,1491.9945628708638,RAL,25,1519.6129975562712,1547.5207052101537,H,L,0.6404485395061155
31,16,201704150JAX,1,2017,04/15/2017,4,0,RAL,25,1519.6129975562712,1547.5207052101537,JAX,18,1519.9022705247462,1491.9945628708638,A,W,0.35955146049388453
32,17,2017042100SJ,0,2017,04/21/2017,3,0,SJ,30,1496.0173321318018,1507.3602177035061,SD,25,1475.9709185380934,1464.6280329663891,H,W,0.6661988417429926
33,17,2017042100SJ,1,2017,04/21/2017,2,0,SD,25,1475.9709185380934,1464.6280329663891,SJ,30,1496.0173321318018,1507.3602177035061,A,L,0.3338011582570074
34,18,201704220PHI,0,2017,04/22/2017,1,0,PHI,23,1500.0,1490.704282381194,MTL,24,1500.0,1509.295717618806,H,L,0.6400649998028851
35,18,201704220PHI,1,2017,04/22/2017,1,0,MTL,24,1500.0,1509.295717618806,PHI,23,1500.0,1490.704282381194,A,W,0.3599350001971149
36,19,201704220RAL,0,2017,04/22/2017,5,0,RAL,23,1547.5207052101537,1554.2225445109186,DC,21,1518.8495780887638,1512.1477387879988,H,W,0.6771468416177422
37,19,201704220RAL,1,2017,04/22/2017,2,0,DC,21,1518.8495780887638,1512.1477387879988,RAL,23,1547.5207052101537,1554.2225445109186,A,L,0.3228531583822578
38,20,201704220PIT,0,2017,04/22/2017,1,0,PIT,30,1500.0,1515.1294579399005,CHI,22,1500.0,1484.8705420600995,H,W,0.6400649998028851
39,20,201704220PIT,1,2017,04/22/2017,1,0,CHI,22,1500.0,1484.8705420600995,PIT,30,1500.0,1515.1294579399005,A,L,0.3599350001971149
40,21,201704220MIN,0,2017,04/22/2017,1,0,MIN,26,1500.0,1516.1167446208667,IND,16,1494.16046066723,1478.0437160463632,H,W,0.6477722907697174
41,21,201704220MIN,1,2017,04/22/2017,3,0,IND,16,1494.16046066723,1478.0437160463632,MIN,26,1500.0,1516.1167446208667,A,L,0.35222770923028257
42,22,201704220ATL,0,2017,04/22/2017,3,0,ATL,25,1516.6370245500004,1500.9835846591684,JAX,27,1491.9945628708638,1507.6480027616958,H,L,0.6720561933445939
43,22,201704220ATL,1,2017,04/22/2017,3,0,JAX,27,1491.9945628708638,1507.6480027616958,ATL,25,1516.6370245500004,1500.9835846591684,A,W,0.3279438066554061
44,23,201704220AUS,0,2017,04/22/2017,3,0,AUS,24,1462.899705439766,1441.4535995494527,DAL,30,1532.6167549438633,1554.0628608341765,H,L,0.5434706411182068
45,23,201704220AUS,1,2017,04/22/2017,3,0,DAL,30,1532.6167549438633,1554.0628608341765,AUS,24,1462.899705439766,1441.4535995494527,A,W,0.45652935888179325
46,24,2017042200SF,0,2017,04/22/2017,3,0,SF,28,1503.9826678681982,1517.3891043492788,SD,19,1464.6280329663891,1451.2215964853085,H,W,0.6904426975758146
47,24,2017042200SF,1,2017,04/22/2017,3,0,SD,19,1464.6280329663891,1451.2215964853085,SF,28,1503.9826678681982,1517.3891043492788,A,L,0.30955730242418544
48,25,201704220VAN,0,2017,04/22/2017,3,0,VAN,24,1474.8814210401467,1458.2989307961552,SEA,27,1517.1103541396415,1533.692844383633,H,L,0.582381402401924
49,25,201704220VAN,1,2017,04/22/2017,2,0,SEA,27,1517.1103541396415,1533.692844383633,VAN,24,1474.8814210401467,1458.2989307961552,A,W,0.41761859759807596
50,26,2017042300NY,0,2017,04/23/2017,2,0,NY,21,1475.9709185380934,1496.7291182970605,MTL,8,1509.295717618806,1488.537517859839,H,W,0.5947924965361605
51,26,2017042300NY,1,2017,04/23/2017,2,0,MTL,8,1509.295717618806,1488.537517859839,NY,21,1475.9709185380934,1496.7291182970605,A,L,0.4052075034638395
52,27,201704230NSH,0,2017,04/23/2017,3,0,NSH,11,1448.331246985353,1432.560755821213,JAX,14,1507.6480027616958,1523.4184939258357,H,L,0.55828176265866
53,27,201704230NSH,1,2017,04/23/2017,4,0,JAX,14,1507.6480027616958,1523.4184939258357,NSH,11,1448.331246985353,1432.560755821213,A,W,0.44171823734133997
54,28,201704280SEA,0,2017,04/28/2017,3,0,SEA,26,1533.692844383633,1523.7770890274292,SJ,27,1507.3602177035061,1517.27597305971,H,L,0.6741969140132302
55,28,201704280SEA,1,2017,04/28/2017,4,0,SJ,27,1507.3602177035061,1517.27597305971,SEA,26,1533.692844383633,1523.7770890274292,A,W,0.32580308598676977
56,29,201704290TOR,0,2017,04/29/2017,3,0,TOR,19,1505.1795033731428,1485.8024155399034,MTL,22,1488.537517859839,1507.9146056930783,H,L,0.661826697636835
57,29,201704290TOR,1,2017,04/29/2017,3,0,MTL,22,1488.537517859839,1507.9146056930783,TOR,19,1505.1795033731428,1485.8024155399034,A,W,0.338173302363165
58,30,201704290DET,0,2017,04/29/2017,2,0,DET,23,1481.8104578708635,1497.8659600308056,CHI,14,1484.8705420600995,1468.8150399001574,H,W,0.6359968323136513
59,30,201704290DET,1,2017,04/29/2017,2,0,CHI,14,1484.8705420600995,1468.8150399001574,DET,23,1481.8104578708635,1497.8659600308056,A,L,0.36400316768634866
60,31,2017042900NY,0,2017,04/29/2017,3,0,NY,18,1496.7291182970605,1508.7626135621495,PHI,13,1490.704282381194,1478.670787116105,H,W,0.6480156234854656
61,31,2017042900NY,1,2017,04/29/2017,2,0,PHI,13,1490.704282381194,1478.670787116105,NY,18,1496.7291182970605,1508.7626135621495,A,L,0.3519843765145344
