division,abbr,team_name,franchise,href
EAST,DC,DC Breeze,Breeze,breeze
EAST,MTL,Montreal Royal,Royal,royal
EAST,NY,New York Empire,Empire,empire
EAST,PHI,Philadelphia Phoenix,Phoenix,phoenix
EAST,ROC,Rochester Dragons,Dragons,dragons
EAST,TOR,Toronto Rush,Rush,rush
MIDWEST,CHI,Chicago Wildfire,Wildfire,wildfire
MIDWEST,CIN,Cincinnati Revolution,Revolution,revolution
MIDWEST,DET,Detroit Mechanix,Mechanix,mechanix
MIDWEST,IND,Indianapolis AlleyCats,Alleycats,alleycats
MIDWEST,MAD,Madison Radicals,Radicals,radicals
MIDWEST,MIN,Minnesota Wind Chill,Windchill,windchill
WEST,SF,San Francisco FlameThrowers,Flamethrowers,flamethrowers
WEST,SJ,San Jose Spiders,Spiders,spiders
WEST,SLC,Salt Lake Lions,Lions,lions
WEST,SER,Seattle Raptors,Cascades,cascades
WEST,VAN,Vancouver Riptide,Riptide,riptide
