,gameorder,game_id,_iscopy,year_id,date,seasongame,is_playoffs,team_id,pts,elo_i,elo_n,opp_id,opp_pts,opp_elo_i,opp_elo_n,game_location,game_result,forecast
0,1,201404120DET,0,2014,04/12/2014,1,0,DET,21,1500.0,1469.1202944799486,MIN,30,1500.0,1530.8797055200514,H,L,0.6400649998028851
1,1,201404120DET,1,2014,04/12/2014,1,0,MIN,30,1500.0,1530.8797055200514,DET,21,1500.0,1469.1202944799486,A,W,0.3599350001971149
2,2,201404120CIN,0,2014,04/12/2014,1,0,CIN,16,1500.0,1469.1202944799486,MAD,25,1500.0,1530.8797055200514,H,L,0.6400649998028851
3,2,201404120CIN,1,2014,04/12/2014,1,0,MAD,25,1500.0,1530.8797055200514,CIN,16,1500.0,1469.1202944799486,A,W,0.3599350001971149
4,3,2014041200DC,0,2014,04/12/2014,1,0,DC,19,1500.0,1490.704282381194,TOR,20,1500.0,1509.295717618806,H,L,0.6400649998028851
5,3,2014041200DC,1,2014,04/12/2014,1,0,TOR,20,1500.0,1509.295717618806,DC,19,1500.0,1490.704282381194,A,W,0.3599350001971149
6,4,201404120SLL,0,2014,04/12/2014,1,0,SLL,14,1500.0,1465.601757314746,VAN,26,1500.0,1534.398242685254,H,L,0.6400649998028851
7,4,201404120SLL,1,2014,04/12/2014,1,0,VAN,26,1500.0,1534.398242685254,SLL,14,1500.0,1465.601757314746,A,W,0.3599350001971149
8,5,2014041200SJ,0,2014,04/12/2014,1,0,SJ,20,1500.0,1511.082127632385,SF,16,1500.0,1488.917872367615,H,W,0.6400649998028851
9,5,2014041200SJ,1,2014,04/12/2014,1,0,SF,16,1500.0,1488.917872367615,SJ,20,1500.0,1511.082127632385,A,L,0.3599350001971149
10,6,201404130CHI,0,2014,04/13/2014,1,0,CHI,27,1500.0,1517.119887893041,MIN,19,1530.8797055200514,1513.7598176270103,H,W,0.5981802197808751
11,6,201404130CHI,1,2014,04/13/2014,2,0,MIN,19,1530.8797055200514,1513.7598176270103,CHI,27,1500.0,1517.119887893041,A,L,0.4018197802191249
12,7,201404130IND,0,2014,04/13/2014,1,0,IND,21,1500.0,1477.868772650978,MAD,26,1530.8797055200514,1553.0109328690735,H,L,0.5981802197808751
13,7,201404130IND,1,2014,04/13/2014,2,0,MAD,26,1530.8797055200514,1553.0109328690735,IND,21,1500.0,1477.868772650978,A,W,0.4018197802191249
14,8,2014041300NY,0,2014,04/13/2014,1,0,NY,20,1500.0,1485.616149687026,TOR,22,1509.295717618806,1523.67956793178,H,L,0.6276470569647636
15,8,2014041300NY,1,2014,04/13/2014,2,0,TOR,22,1509.295717618806,1523.67956793178,NY,20,1500.0,1485.616149687026,A,W,0.37235294303523636
16,9,201404130SLL,0,2014,04/13/2014,2,0,SLL,12,1465.601757314746,1440.1525182690573,VAN,21,1534.398242685254,1559.8474817309427,H,L,0.5447851196543075
17,9,201404130SLL,1,2014,04/13/2014,2,0,VAN,21,1534.398242685254,1559.8474817309427,SLL,12,1465.601757314746,1440.1525182690573,A,W,0.45521488034569246
