,gameorder,game_id,_iscopy,year_id,date,seasongame,is_playoffs,team_id,pts,elo_i,elo_n,opp_id,opp_pts,opp_elo_i,opp_elo_n,game_location,game_result,forecast
34,18,201604100CHI,0,2016,04/10/2016,1,0,CHI,11,1500.0,1472.6685616066134,MIN,17,1481.3531433976648,1508.6845817910514,H,L,0.6644048619482026
35,18,201604100CHI,1,2016,04/10/2016,2,0,MIN,17,1481.3531433976648,1508.6845817910514,CHI,11,1500.0,1472.6685616066134,A,W,0.3355951380517974
36,19,2016041000DC,0,2016,04/10/2016,1,0,DC,28,1500.0,1516.2533510191909,OTT,17,1487.6624584452043,1471.4091074260134,H,W,0.6562589571711297
37,19,2016041000DC,1,2016,04/10/2016,2,0,OTT,17,1487.6624584452043,1471.4091074260134,DC,28,1500.0,1516.2533510191909,A,L,0.3437410428288703
38,20,201604150DET,0,2016,04/15/2016,3,0,DET,20,1486.2546139149838,1490.500178112097,CIN,19,1458.5208996619706,1454.2753354648573,H,W,0.6759660077577229
39,20,201604150DET,1,2016,04/15/2016,3,0,CIN,19,1458.5208996619706,1454.2753354648573,DET,20,1486.2546139149838,1490.500178112097,A,L,0.32403399224227714
40,21,2016041600SD,0,2016,04/16/2016,3,0,SD,19,1480.4314990413384,1488.2006578521775,LA,17,1486.9432417369399,1479.1740829261007,H,W,0.631384671586784
41,21,2016041600SD,1,2016,04/16/2016,3,0,LA,17,1486.9432417369399,1479.1740829261007,SD,19,1480.4314990413384,1488.2006578521775,A,L,0.368615328413216
42,22,2016041600SJ,0,2016,04/16/2016,2,0,SJ,27,1504.993446880865,1483.5350097818848,SF,32,1546.801786205344,1568.260223304324,H,L,0.582970136297295
43,22,2016041600SJ,1,2016,04/16/2016,4,0,SF,32,1546.801786205344,1568.260223304324,SJ,27,1504.993446880865,1483.5350097818848,A,W,0.417029863702705
44,23,201604160JAX,0,2016,04/16/2016,2,0,JAX,31,1488.280406590804,1503.8241434833415,NSH,22,1483.488781234155,1467.9450443416176,H,W,0.6463947222774803
45,23,201604160JAX,1,2016,04/16/2016,2,0,NSH,22,1483.488781234155,1467.9450443416176,JAX,31,1488.280406590804,1503.8241434833415,A,L,0.3536052777225197
46,24,201604160VAN,0,2016,04/16/2016,2,0,VAN,34,1488.917872367615,1505.6334481766298,SEA,24,1491.912153767898,1475.1965779588832,H,W,0.6360845198234468
47,24,201604160VAN,1,2016,04/16/2016,4,0,SEA,24,1491.912153767898,1475.1965779588832,VAN,34,1488.917872367615,1505.6334481766298,A,L,0.3639154801765532
48,25,201604160MIN,0,2016,04/16/2016,3,0,MIN,22,1508.6845817910514,1512.7799126667744,CHI,21,1472.6685616066134,1468.5732307308904,H,W,0.686320111502912
49,25,201604160MIN,1,2016,04/16/2016,2,0,CHI,21,1472.6685616066134,1468.5732307308904,MIN,22,1508.6845817910514,1512.7799126667744,A,L,0.31367988849708806
50,26,201604160IND,0,2016,04/16/2016,2,0,IND,25,1522.8876651004173,1494.6993974827017,MAD,32,1518.6468566023352,1546.8351242200508,H,L,0.6456696509423483
51,26,201604160IND,1,2016,04/16/2016,2,0,MAD,32,1518.6468566023352,1546.8351242200508,IND,25,1522.8876651004173,1494.6993974827017,A,W,0.3543303490576517
52,27,201604160CHA,0,2016,04/16/2016,3,0,CHA,21,1480.965769547002,1485.1892304594446,AUS,20,1452.0251749895488,1447.8017140771062,H,W,0.677485865642296
53,27,201604160CHA,1,2016,04/16/2016,3,0,AUS,20,1452.0251749895488,1447.8017140771062,CHA,21,1480.965769547002,1485.1892304594446,A,L,0.32251413435770404
54,28,201604160PHI,0,2016,04/16/2016,1,0,PHI,17,1500.0,1470.5332723137988,MTL,25,1500.0,1529.4667276862012,H,L,0.6400649998028851
55,28,201604160PHI,1,2016,04/16/2016,1,0,MTL,25,1500.0,1529.4667276862012,PHI,17,1500.0,1470.5332723137988,A,W,0.3599350001971149
56,29,201604160CIN,0,2016,04/16/2016,4,0,CIN,16,1454.2753354648573,1429.5509135391248,PIT,25,1532.3368213226283,1557.0612432483608,H,L,0.5315301654213257
57,29,201604160CIN,1,2016,04/16/2016,2,0,PIT,25,1532.3368213226283,1557.0612432483608,CIN,16,1454.2753354648573,1429.5509135391248,A,W,0.4684698345786743
58,30,201604170ATL,0,2016,04/17/2016,3,0,ATL,21,1523.207907664047,1512.622807830569,NSH,22,1467.9450443416176,1478.5301441750958,H,L,0.7096665015078494
59,30,201604170ATL,1,2016,04/17/2016,3,0,NSH,22,1467.9450443416176,1478.5301441750958,ATL,21,1523.207907664047,1512.622807830569,A,W,0.2903334984921506
60,31,201604170RAL,0,2016,04/17/2016,3,0,RAL,28,1524.0571349639918,1527.472174500536,AUS,27,1447.8017140771062,1444.386674540562,H,W,0.7339209268690178
61,31,201604170RAL,1,2016,04/17/2016,4,0,AUS,27,1447.8017140771062,1444.386674540562,RAL,28,1524.0571349639918,1527.472174500536,A,L,0.2660790731309822
62,32,2016041700NY,0,2016,04/17/2016,2,0,NY,21,1512.3375415547957,1520.446379801855,MTL,19,1529.4667276862012,1521.357889439142,H,W,0.6170493208996186
63,32,2016041700NY,1,2016,04/17/2016,2,0,MTL,19,1529.4667276862012,1521.357889439142,NY,21,1512.3375415547957,1520.446379801855,A,L,0.3829506791003814
64,33,2016042300DC,0,2016,04/23/2016,2,0,DC,24,1516.2533510191909,1506.5739452195728,TOR,25,1500.0,1509.679405799618,H,L,0.6613258129911843
65,33,2016042300DC,1,2016,04/23/2016,1,0,TOR,25,1500.0,1509.679405799618,DC,24,1516.2533510191909,1506.5739452195728,A,W,0.3386741870088157
66,34,201604230CHI,0,2016,04/23/2016,3,0,CHI,27,1468.5732307308904,1481.3849454201118,CIN,19,1429.5509135391248,1416.7391988499035,H,W,0.6900336856293936
67,34,201604230CHI,1,2016,04/23/2016,5,0,CIN,19,1429.5509135391248,1416.7391988499035,CHI,27,1468.5732307308904,1481.3849454201118,A,L,0.3099663143706064
68,35,201604230NSH,0,2016,04/23/2016,4,0,NSH,18,1478.5301441750958,1465.6419488109652,RAL,20,1527.472174500536,1540.3603698646666,H,L,0.5729539024057547
69,35,201604230NSH,1,2016,04/23/2016,4,0,RAL,20,1527.472174500536,1540.3603698646666,NSH,18,1478.5301441750958,1465.6419488109652,A,W,0.4270460975942453
70,36,201604230CHA,0,2016,04/23/2016,4,0,CHA,19,1485.1892304594446,1462.84580698027,ATL,24,1512.622807830569,1534.9662313097435,H,L,0.6029389516457414
71,36,201604230CHA,1,2016,04/23/2016,4,0,ATL,24,1512.622807830569,1534.9662313097435,CHA,19,1485.1892304594446,1462.84580698027,A,W,0.3970610483542586
72,37,2016042300SF,0,2016,04/23/2016,5,0,SF,31,1568.260223304324,1582.2505918723368,SD,14,1488.2006578521775,1474.2102892841647,H,W,0.7381753084534883
73,37,2016042300SF,1,2016,04/23/2016,4,0,SD,14,1488.2006578521775,1474.2102892841647,SF,31,1568.260223304324,1582.2505918723368,A,L,0.26182469154651167
74,38,201604230PIT,0,2016,04/23/2016,3,0,PIT,26,1557.0612432483608,1569.4158781956519,DET,16,1490.500178112097,1478.145543164806,H,W,0.7228819944733
75,38,201604230PIT,1,2016,04/23/2016,4,0,DET,16,1490.500178112097,1478.145543164806,PIT,26,1557.0612432483608,1569.4158781956519,A,L,0.27711800552669996
76,39,201604230DAL,0,2016,04/23/2016,3,0,DAL,32,1547.9748250104512,1563.7792943578095,JAX,17,1503.8241434833415,1488.0196741359832,H,W,0.6963122218054782
77,39,201604230DAL,1,2016,04/23/2016,3,0,JAX,17,1503.8241434833415,1488.0196741359832,DAL,32,1547.9748250104512,1563.7792943578095,A,L,0.30368777819452175
78,40,201604240PHI,0,2016,04/24/2016,2,0,PHI,16,1470.5332723137988,1444.0179970987426,TOR,24,1509.679405799618,1536.1946810146742,H,L,0.5866910572676316
79,40,201604240PHI,1,2016,04/24/2016,2,0,TOR,24,1509.679405799618,1536.1946810146742,PHI,16,1470.5332723137988,1444.0179970987426,A,W,0.4133089427323684
80,41,201604240AUS,0,2016,04/24/2016,5,0,AUS,28,1444.386674540562,1459.046988797996,JAX,23,1488.0196741359832,1473.3593598785492,H,W,0.5804143424111189
