,date,team_id,pts,opp_id,opp_pts,is_playoffs
0,04/02/2016,RAL,23,CHA,18,0
1,04/02/2016,DAL,30,AUS,18,0
2,04/02/2016,SD,23,SF,25,0
3,04/02/2016,CIN,12,DET,15,0
4,04/02/2016,ATL,26,NSH,16,0
5,04/02/2016,SEA,25,VAN,21,0
6,04/03/2016,LA,16,SF,19,0
7,04/08/2016,CIN,17,IND,22,0
8,04/08/2016,SJ,26,SEA,25,0
9,04/09/2016,SF,27,SEA,18,0
10,04/09/2016,AUS,18,DAL,29,0
11,04/09/2016,LA,21,SD,20,0
12,04/09/2016,MAD,25,MIN,11,0
13,04/09/2016,RAL,24,JAX,19,0
14,04/09/2016,DET,16,PIT,25,0
15,04/09/2016,NY,24,OTT,19,0
16,04/09/2016,ATL,18,CHA,16,0
17,04/10/2016,CHI,11,MIN,17,0
18,04/10/2016,DC,28,OTT,17,0
19,04/15/2016,DET,20,CIN,19,0
20,04/16/2016,SD,19,LA,17,0
21,04/16/2016,SJ,27,SF,32,0
22,04/16/2016,JAX,31,NSH,22,0
23,04/16/2016,VAN,34,SEA,24,0
24,04/16/2016,MIN,22,CHI,21,0
25,04/16/2016,IND,25,MAD,32,0
26,04/16/2016,CHA,21,AUS,20,0
27,04/16/2016,PHI,17,MTL,25,0
28,04/16/2016,CIN,16,PIT,25,0
29,04/17/2016,ATL,21,NSH,22,0
30,04/17/2016,RAL,28,AUS,27,0
31,04/17/2016,NY,21,MTL,19,0
32,04/23/2016,DC,24,TOR,25,0
33,04/23/2016,CHI,27,CIN,19,0
34,04/23/2016,NSH,18,RAL,20,0
35,04/23/2016,CHA,19,ATL,24,0
36,04/23/2016,SF,31,SD,14,0
37,04/23/2016,PIT,26,DET,16,0
38,04/23/2016,DAL,32,JAX,17,0
39,04/24/2016,PHI,16,TOR,24,0
40,04/24/2016,AUS,28,JAX,23,0
41,04/24/2016,IND,35,CIN,14,0
42,04/30/2016,NY,28,PHI,16,0
43,04/30/2016,JAX,23,ATL,18,0
44,04/30/2016,TOR,24,DC,23,0
45,04/30/2016,PIT,18,MAD,22,0
46,04/30/2016,RAL,18,DAL,24,0
47,04/30/2016,SD,17,SEA,25,0
48,04/30/2016,IND,20,MIN,21,0
49,05/01/2016,LA,17,SEA,26,0
50,05/01/2016,CIN,26,MIN,32,0
51,05/01/2016,CHA,18,DAL,30,0
52,05/01/2016,MTL,18,DC,26,0
53,05/01/2016,TOR,32,OTT,15,0
54,05/06/2016,SF,32,SJ,25,0
55,05/06/2016,OTT,31,MTL,24,0
56,05/06/2016,SEA,23,SD,19,0
57,05/07/2016,PIT,31,CIN,14,0
58,05/07/2016,NSH,24,CHA,26,0
59,05/07/2016,DAL,24,AUS,16,0
60,05/07/2016,DC,23,NY,22,0
61,05/07/2016,MIN,24,IND,23,0
62,05/07/2016,DET,13,CHI,18,0
63,05/07/2016,MTL,31,TOR,27,0
64,05/07/2016,ATL,25,RAL,23,0
65,05/07/2016,VAN,27,SD,19,0
66,05/13/2016,MAD,18,CHI,11,0
67,05/14/2016,TOR,22,NY,14,0
68,05/14/2016,PHI,15,DC,24,0
69,05/14/2016,VAN,18,SF,22,0
70,05/14/2016,JAX,25,RAL,24,0
71,05/14/2016,IND,31,PIT,23,0
72,05/14/2016,NSH,22,AUS,29,0
73,05/14/2016,SJ,26,SEA,27,0
74,05/14/2016,DET,13,MAD,26,0
75,05/14/2016,MIN,26,CHI,23,0
76,05/15/2016,MTL,12,NY,17,0
77,05/15/2016,ATL,22,AUS,23,0
78,05/20/2016,SEA,27,SJ,17,0
79,05/21/2016,VAN,22,SJ,20,0
80,05/21/2016,NY,14,DC,15,0
81,05/21/2016,PHI,18,MTL,21,0
82,05/21/2016,CHA,14,RAL,23,0
83,05/21/2016,SD,18,LA,26,0
84,05/21/2016,JAX,29,ATL,24,0
85,05/21/2016,TOR,30,OTT,24,0
86,05/21/2016,AUS,37,NSH,25,0
87,05/21/2016,CHI,23,PIT,24,0
88,05/21/2016,IND,29,DET,24,0
89,05/21/2016,MAD,36,CIN,23,0
90,05/22/2016,DAL,33,NSH,15,0
91,05/22/2016,DC,28,MTL,14,0
92,05/22/2016,MIN,24,PIT,27,0
93,05/27/2016,MAD,36,MIN,15,0
94,05/27/2016,CIN,24,IND,28,0
95,05/28/2016,SF,30,VAN,27,0
96,05/28/2016,RAL,25,JAX,24,0
97,05/28/2016,CHI,19,IND,17,0
98,05/28/2016,DET,23,CIN,19,0
99,05/28/2016,SEA,27,LA,26,0
100,05/28/2016,ATL,20,DAL,26,0
101,05/28/2016,OTT,20,TOR,35,0
102,05/28/2016,MTL,27,DC,22,0
103,05/29/2016,TOR,26,MTL,14,0
104,05/29/2016,OTT,27,DC,22,0
105,05/29/2016,SJ,27,VAN,17,0
106,05/29/2016,CHA,26,JAX,23,0
107,05/29/2016,NSH,23,DAL,34,0
108,06/04/2016,VAN,29,SF,27,0
109,06/04/2016,OTT,30,MTL,27,0
110,06/04/2016,DAL,28,CHA,18,0
111,06/04/2016,MAD,23,PIT,16,0
112,06/04/2016,PHI,17,NY,32,0
113,06/04/2016,DC,28,TOR,23,0
114,06/04/2016,LA,27,SJ,24,0
115,06/05/2016,SEA,28,SF,25,0
116,06/05/2016,AUS,31,CHA,14,0
117,06/05/2016,NY,21,TOR,27,0
118,06/05/2016,CHI,15,DET,17,0
119,06/05/2016,SD,22,SJ,26,0
120,06/10/2016,MIN,31,DET,28,0
121,06/11/2016,TOR,28,PHI,6,0
122,06/11/2016,CHA,21,RAL,29,0
