,date,team_id,pts,opp_id,opp_pts,is_playoffs
0,04/12/2013,CIN,15,WCW,26,0
1,04/13/2013,DET,24,IND,30,0
2,04/20/2013,DC,13,TOR,30,0
3,04/20/2013,NY,23,ROC,14,0
4,04/20/2013,IND,25,MIN,34,0
5,04/20/2013,WCW,21,MAD,22,0
6,04/21/2013,PHI,25,TOR,26,0
7,04/21/2013,CIN,22,MIN,21,0
8,04/21/2013,NJ,28,ROC,13,0
9,04/21/2013,DET,25,MAD,24,0
10,04/27/2013,PHI,26,ROC,14,0
11,04/27/2013,NY,14,TOR,22,0
12,04/27/2013,CIN,11,DET,15,0
13,04/27/2013,IND,15,WCW,25,0
14,04/27/2013,MIN,20,MAD,22,0
15,04/28/2013,DC,26,ROC,25,0
16,04/28/2013,WCW,23,CIN,16,0
17,04/28/2013,NJ,19,TOR,29,0
18,05/03/2013,MAD,19,MIN,15,0
19,05/04/2013,DET,22,MIN,16,0
20,05/04/2013,NY,25,DC,11,0
21,05/04/2013,TOR,31,NJ,18,0
22,05/04/2013,WCW,25,IND,17,0
23,05/05/2013,PHI,23,DC,18,0
24,05/05/2013,DET,22,CIN,23,0
25,05/05/2013,ROC,20,NJ,15,0
26,05/11/2013,ROC,21,NY,20,0
27,05/11/2013,MIN,15,WCW,18,0
28,05/12/2013,CIN,17,DET,10,0
29,05/12/2013,DC,18,NJ,13,0
30,05/12/2013,MAD,15,WCW,16,0
31,05/12/2013,TOR,16,NY,9,0
32,05/18/2013,DC,17,PHI,18,0
33,05/18/2013,ROC,21,TOR,28,0
34,05/18/2013,NJ,16,NY,24,0
35,05/18/2013,IND,28,CIN,21,0
36,05/18/2013,MAD,26,DET,16,0
37,05/19/2013,MIN,20,DET,6,0
38,05/24/2013,MAD,27,MIN,23,0
39,05/25/2013,DC,14,ROC,16,0
40,05/25/2013,DET,19,WCW,23,0
41,05/25/2013,NJ,15,PHI,20,0
42,05/25/2013,CIN,21,IND,27,0
43,05/26/2013,PHI,17,ROC,16,0
44,05/26/2013,CIN,19,IND,23,0
45,06/01/2013,TOR,28,PHI,18,0
46,06/01/2013,NJ,20,DC,22,0
47,06/01/2013,MIN,26,CIN,9,0
48,06/02/2013,ROC,14,PHI,12,0
49,06/02/2013,NY,23,DC,13,0
50,06/02/2013,MAD,26,CIN,20,0
51,06/02/2013,IND,22,WCW,26,0
52,06/07/2013,MIN,24,MAD,25,0
53,06/08/2013,PHI,31,DC,27,0
54,06/08/2013,ROC,26,NJ,20,0
55,06/08/2013,WCW,21,DET,9,0
56,06/09/2013,TOR,33,NJ,15,0
57,06/09/2013,NY,19,PHI,18,0
58,06/09/2013,IND,27,DET,23,0
59,06/15/2013,PHI,17,NY,21,0
60,06/15/2013,CIN,23,MAD,21,0
61,06/15/2013,WCW,26,MIN,25,0
62,06/16/2013,TOR,25,ROC,22,0
63,06/16/2013,DC,16,NY,19,0
64,06/16/2013,NJ,17,PHI,21,0
65,06/16/2013,IND,22,MAD,24,0
66,06/22/2013,DET,26,WCW,34,0
67,06/22/2013,TOR,40,DC,16,0
68,06/22/2013,NY,23,PHI,22,0
69,06/22/2013,MAD,20,IND,16,0
70,06/23/2013,ROC,24,DC,20,0
71,06/23/2013,MIN,21,IND,29,0
72,06/23/2013,CIN,17,WCW,20,0
73,06/23/2013,NJ,21,NY,18,0
74,06/29/2013,DC,21,PHI,23,0
75,06/29/2013,NY,22,NJ,9,0
76,06/29/2013,TOR,28,ROC,18,0
77,06/29/2013,WCW,13,MAD,15,0
78,06/29/2013,MIN,35,CIN,24,0
79,06/29/2013,IND,24,DET,17,0
80,06/30/2013,PHI,20,NJ,17,0
81,06/30/2013,ROC,20,TOR,26,0
82,06/30/2013,DET,22,MAD,29,0
83,07/05/2013,WCW,28,MIN,13,0
84,07/06/2013,ROC,22,NY,27,0
85,07/06/2013,NJ,17,DC,24,0
86,07/06/2013,IND,29,MIN,9,0
87,07/06/2013,MAD,28,CIN,18,0
88,07/07/2013,DET,17,CIN,16,0
89,07/07/2013,TOR,28,NY,16,0
90,07/12/2013,WCW,32,DET,19,0
91,07/13/2013,DC,17,TOR,31,0
92,07/13/2013,NY,25,NJ,16,0
93,07/13/2013,MIN,18,IND,24,0
94,07/14/2013,PHI,24,TOR,35,0
95,07/14/2013,MAD,25,IND,23,0
96,07/26/2013,NY,21,PHI,13,1
97,07/27/2013,MAD,18,IND,15,1
98,08/03/2013,WCW,15,MAD,21,1
99,08/03/2013,TOR,25,NY,18,1
100,08/04/2013,TOR,16,MAD,14,1
