,gameorder,game_id,_iscopy,year_id,date,seasongame,is_playoffs,team_id,pts,elo_i,elo_n,opp_id,opp_pts,opp_elo_i,opp_elo_n,game_location,game_result,forecast
0,1,201304120CIN,0,2013,04/12/2013,1,0,CIN,15,1500.0,1466.6752009192874,CHI,26,1500.0,1533.3247990807126,H,L,0.6400649998028851
1,1,201304120CIN,1,2013,04/12/2013,1,0,CHI,26,1500.0,1533.3247990807126,CIN,15,1500.0,1466.6752009192874,A,W,0.3599350001971149
2,2,201304130DET,0,2013,04/13/2013,1,0,DET,24,1500.0,1473.903621388787,IND,30,1500.0,1526.096378611213,H,L,0.6400649998028851
3,2,201304130DET,1,2013,04/13/2013,1,0,IND,30,1500.0,1526.096378611213,DET,24,1500.0,1473.903621388787,A,W,0.3599350001971149
4,3,2013042000DC,0,2013,04/20/2013,1,0,DC,13,1500.0,1461.2375546949927,TOR,30,1500.0,1538.7624453050073,H,L,0.6400649998028851
5,3,2013042000DC,1,2013,04/20/2013,1,0,TOR,30,1500.0,1538.7624453050073,DC,13,1500.0,1461.2375546949927,A,W,0.3599350001971149
6,4,2013042000NY,0,2013,04/20/2013,1,0,NY,23,1500.0,1515.8549402172305,ROC,14,1500.0,1484.1450597827695,H,W,0.6400649998028851
7,4,2013042000NY,1,2013,04/20/2013,1,0,ROC,14,1500.0,1484.1450597827695,NY,23,1500.0,1515.8549402172305,A,L,0.3599350001971149
8,5,201304200IND,0,2013,04/20/2013,2,0,IND,25,1526.096378611213,1493.1753010893094,MIN,34,1500.0,1532.9210775219035,H,L,0.6738981221627184
9,5,201304200IND,1,2013,04/20/2013,1,0,MIN,34,1500.0,1532.9210775219035,IND,25,1526.096378611213,1493.1753010893094,A,W,0.3261018778372816
10,6,201304200CHI,0,2013,04/20/2013,2,0,CHI,21,1533.3247990807126,1523.2459500798025,MAD,22,1500.0,1510.0788490009102,H,L,0.6829753500405215
11,6,201304200CHI,1,2013,04/20/2013,1,0,MAD,22,1500.0,1510.0788490009102,CHI,21,1533.3247990807126,1523.2459500798025,A,W,0.31702464995947854
12,7,201304210PHI,0,2013,04/21/2013,1,0,PHI,25,1500.0,1491.6262256463979,TOR,26,1538.7624453050073,1547.1362196586094,H,L,0.5872265271698446
13,7,201304210PHI,1,2013,04/21/2013,2,0,TOR,26,1538.7624453050073,1547.1362196586094,PHI,25,1500.0,1491.6262256463979,A,W,0.4127734728301554
14,8,201304210CIN,0,2013,04/21/2013,2,0,CIN,22,1466.6752009192874,1472.8407787209715,MIN,21,1532.9210775219035,1526.7554997202194,H,W,0.5484238339437172
15,8,201304210CIN,1,2013,04/21/2013,2,0,MIN,21,1532.9210775219035,1526.7554997202194,CIN,22,1466.6752009192874,1472.8407787209715,A,L,0.4515761660562828
16,9,2013042100NJ,0,2013,04/21/2013,1,0,NJ,28,1500.0,1517.86764501668,ROC,13,1484.1450597827695,1466.2774147660896,H,W,0.660811952890373
17,9,2013042100NJ,1,2013,04/21/2013,2,0,ROC,13,1484.1450597827695,1466.2774147660896,NJ,28,1500.0,1517.86764501668,A,L,0.339188047109627
18,10,201304210DET,0,2013,04/21/2013,2,0,DET,25,1473.903621388787,1479.415977130083,MAD,24,1510.0788490009102,1504.5664932596142,H,W,0.5908317679869362
19,10,201304210DET,1,2013,04/21/2013,2,0,MAD,24,1510.0788490009102,1504.5664932596142,DET,25,1473.903621388787,1479.415977130083,A,L,0.40916823201306385
20,11,201304270PHI,0,2013,04/27/2013,2,0,PHI,26,1491.6262256463979,1507.4990876338175,ROC,14,1466.2774147660896,1450.40455277867,H,W,0.6729517145122278
21,11,201304270PHI,1,2013,04/27/2013,3,0,ROC,14,1466.2774147660896,1450.40455277867,PHI,26,1491.6262256463979,1507.4990876338175,A,L,0.3270482854877722
22,12,2013042700NY,0,2013,04/27/2013,2,0,NY,14,1515.8549402172305,1488.745863747255,TOR,22,1547.1362196586094,1574.2452961285849,H,L,0.5976244653384986
23,12,2013042700NY,1,2013,04/27/2013,3,0,TOR,22,1547.1362196586094,1574.2452961285849,NY,14,1515.8549402172305,1488.745863747255,A,W,0.40237553466150144
24,13,201304270CIN,0,2013,04/27/2013,3,0,CIN,11,1472.8407787209715,1451.618818911093,DET,15,1479.415977130083,1500.6379369399615,H,L,0.6312996528412543
25,13,201304270CIN,1,2013,04/27/2013,3,0,DET,15,1479.415977130083,1500.6379369399615,CIN,11,1472.8407787209715,1451.618818911093,A,W,0.36870034715874567
